ConId,Strategy,Index
105909435,LongStock,0
424099317,LongStock,0
585972281,ShortPut,0
88292752,CoveredCall,0
514057342,CoveredCall,1
4458901,SyntheticLending,0
602696665,SyntheticLending,1
602696668,SyntheticLending,2
151374277,LongStock,0
459530964,CoveredCall,0
584716525,CoveredCall,1
637533515,Future,0
514505237,BorrowBox,0
514505266,BorrowBox,1
514113235,BorrowBox,2
514111903,BorrowBox,3
514113181,LongPut,0
35447205,CoveredCall,0
517208750,CoveredCall,1
514090594,CoveredCall,1
12340041,CoveredCall,0
15224436,LongStock,0
13977,CoveredCall,0
519061450,CoveredCall,1
619365747,Future,0
44475946,CoveredCall,0
562989730,CoveredCall,1
609063961,CoveredCall,1
102436165,CoveredCall,0
14893494,LongStock,0
53747825,CoveredCall,0
514090912,CoveredCall,1
39090809,LongStock,0
82678982,LongStock,0
82407151,LongStock,0
